,Date,Q
0,01/01/2017,5417.058957665506
1,07/01/2017,5225.801650767204
2,08/01/2017,5132.0772796147985
3,14/01/2017,4725.685902937523
4,15/01/2017,4703.8334916093245
5,22/01/2017,4426.53104587653
6,23/01/2017,4364.303146090402
7,05/02/2017,3965.9052763276995
8,06/02/2017,3927.6092166898798
9,14/02/2017,3667.1766781780957
10,15/02/2017,3649.0790958578827
11,07/03/2017,4082.459152040837
12,08/03/2017,4023.86867169967
13,19/03/2017,4903.231648252463
14,20/03/2017,4971.072174873114
15,27/03/2017,4925.76822805507
16,28/03/2017,4858.388420214759
17,29/03/2017,5178.781932616845
18,30/03/2017,5062.608020293623
19,31/03/2017,5016.684980931642
20,01/04/2017,4948.381679825699
21,02/04/2017,5062.608020293623
22,03/04/2017,5062.608020293623
23,04/04/2017,5738.881378034683
24,05/04/2017,6591.49045343992
25,06/04/2017,7259.979502584539
26,07/04/2017,7785.513627947438
27,10/03/2017,3833.071293068229
28,11/03/2017,3795.7336094041666
29,12/03/2017,3946.722734733306
30,13/03/2017,4323.180562978393
31,14/03/2017,4880.771769288813
32,15/03/2017,5249.430092594683
33,16/03/2017,5202.252321929005
34,17/03/2017,5039.6076354585075
35,18/03/2017,4880.771769288813
36,21/03/2017,5202.252321929005
37,22/03/2017,5392.871852876322
38,23/03/2017,5296.925009967374
39,24/03/2017,5155.390309546906
40,26/03/2017,5085.6863076438485
41,08/04/2017,8338.800566566939
42,09/04/2017,9240.832250906702
43,10/04/2017,10174.667861910646
44,11/04/2017,10448.255680538217
45,12/04/2017,10020.742454665502
46,13/04/2017,9422.281623983037
47,14/04/2017,8781.213234569233
48,15/04/2017,8272.236999044384
49,16/04/2017,8781.213234569233
50,17/04/2017,9422.281623983037
51,18/04/2017,9680.741327574164
52,19/04/2017,9385.78182892435
53,20/04/2017,8850.793157759597
54,21/04/2017,8405.761271344216
55,22/04/2017,8506.950344945473
56,23/04/2017,8439.391033422484
57,24/04/2017,8439.391033422484
58,25/04/2017,8506.950344945473
59,26/04/2017,8338.800566566939
60,27/04/2017,8372.231180199176
61,28/04/2017,8677.606438585404
62,29/04/2017,9168.984450378923
63,30/04/2017,9944.43190445214
64,01/05/2017,11260.0861450186
65,02/05/2017,14727.485887509689
66,03/05/2017,17616.534373271883
67,04/05/2017,18993.106007771952
68,05/05/2017,18027.364984322016
69,06/05/2017,16928.489562920407
70,07/05/2017,16370.542921591103
71,08/05/2017,16315.509897238868
72,09/05/2017,16315.509897238868
73,10/05/2017,16260.614449954986
74,11/05/2017,15880.179585480839
75,12/05/2017,16151.235386132765
76,13/05/2017,16370.542921591103
77,14/05/2017,16205.856354581134
78,15/05/2017,15988.192995102214
79,16/05/2017,14224.619542299724
80,17/05/2017,13929.091666889322
81,18/05/2017,13638.1502060899
82,19/05/2017,13399.168722340803
83,20/05/2017,13116.514276818789
84,21/05/2017,13116.514276818789
85,22/05/2017,13023.288274092234
86,23/05/2017,13210.235208290283
87,24/05/2017,13023.288274092234
88,25/05/2017,13399.168722340803
89,26/05/2017,14424.209352244558
90,27/05/2017,16096.751319799148
91,28/05/2017,17212.701174300106
92,29/05/2017,17968.24350057852
93,30/05/2017,18086.63088060892
94,31/05/2017,18146.041419976522
95,01/06/2017,18505.555092797465
96,02/06/2017,18385.134625064897
97,03/06/2017,18505.555092797465
98,04/06/2017,18870.33420472963
99,05/06/2017,21575.464389087887
100,06/06/2017,26710.758684732493
101,07/06/2017,29594.32769736231
102,08/06/2017,30898.408855578276
103,09/06/2017,31701.06679484131
104,10/06/2017,29851.808474638492
105,11/06/2017,26949.376169735846
106,12/06/2017,24633.19006244977
107,13/06/2017,23031.175269035968
108,14/06/2017,22190.700452886686
109,15/06/2017,22468.281939339027
110,16/06/2017,23604.479519406617
111,17/06/2017,25084.110957923716
112,18/06/2017,26631.569498712863
113,19/06/2017,29423.593027300518
114,20/06/2017,31611.126091026683
115,21/06/2017,34584.773422606166
116,22/06/2017,37375.73122685153
117,23/06/2017,37807.908247784464
118,24/06/2017,37952.87265747602
119,25/06/2017,37807.908247784464
120,26/06/2017,37089.86570119754
121,27/06/2017,34012.017371242575
122,28/06/2017,33352.743465264684
123,29/06/2017,32335.98628326465
124,30/06/2017,33446.339097744494
125,01/07/2017,35067.51837174149
126,02/07/2017,39427.70011505396
127,03/07/2017,42518.20959594785
128,04/07/2017,44300.71400496355
129,05/07/2017,47175.44370119493
130,06/07/2017,51492.18323466377
131,07/07/2017,57950.584045162715
132,08/07/2017,60883.55932351557
133,09/07/2017,61743.49721578241
134,10/07/2017,61527.58673340958
135,11/07/2017,66883.28057220524
136,12/07/2017,70661.18765402627
137,13/07/2017,72614.58924328072
138,14/07/2017,73358.41025839286
139,15/07/2017,71388.60860141808
140,16/07/2017,66652.76466661155
141,17/07/2017,60245.05909489713
142,18/07/2017,54741.23729725472
143,19/07/2017,49655.90012257542
144,20/07/2017,46657.34497952749
145,21/07/2017,44300.71400496355
146,22/07/2017,41727.61954445757
147,23/07/2017,40334.87922714395
148,24/07/2017,39879.1787161647
149,25/07/2017,39879.1787161647
150,26/07/2017,39278.140174944136
151,27/07/2017,38390.4975811781
152,28/07/2017,37089.86570119754
153,29/07/2017,34970.57136192307
154,30/07/2017,34970.57136192307
155,31/07/2017,35262.01129883371
156,01/08/2017,37232.57394815924
157,02/08/2017,37089.86570119754
158,03/08/2017,35555.251987634845
159,04/08/2017,36947.60538939608
160,05/08/2017,38390.4975811781
161,06/08/2017,39129.04482077411
162,07/08/2017,38390.4975811781
163,08/08/2017,37663.39727529677
164,09/08/2017,37663.39727529677
165,10/08/2017,39728.21825720163
166,11/08/2017,43159.47011273657
167,12/08/2017,53962.06830381575
168,13/08/2017,66422.8993306359
169,14/08/2017,80337.75510444412
170,15/08/2017,85567.57369264236
171,16/08/2017,85850.35909636146
172,17/08/2017,83056.63611377079
173,18/08/2017,77171.68142680352
174,19/08/2017,71145.45728543666
175,20/08/2017,66652.76466661155
176,21/08/2017,62394.952026754036
177,22/08/2017,59402.25940987689
178,23/08/2017,55134.26011640311
179,24/08/2017,53191.99869724753
180,25/08/2017,51120.55118553447
181,26/08/2017,48049.399231666204
182,27/08/2017,45466.535674340856
183,28/08/2017,45130.91202472056
184,29/08/2017,42677.78885456552
185,30/08/2017,40949.10032732327
186,31/08/2017,38832.24337781725
187,01/09/2017,37089.86570119754
188,02/09/2017,37519.33863576182
189,03/09/2017,38684.53504766901
190,04/09/2017,38244.16621510436
191,05/09/2017,38537.28682073367
192,06/09/2017,38832.24337781725
193,07/09/2017,39278.140174944136
194,08/09/2017,40794.832301093455
195,09/09/2017,42677.78885456552
196,10/09/2017,45635.111814142045
197,11/09/2017,50383.87042920553
198,12/09/2017,51866.02326583721
199,13/09/2017,50201.06439530961
200,14/09/2017,47873.5566408946
201,15/09/2017,45804.19910059302
202,16/09/2017,44136.18390026046
203,17/09/2017,41414.771442256504
204,18/09/2017,38537.28682073367
205,19/09/2017,34970.57136192307
206,20/09/2017,33728.29710839751
207,21/09/2017,32887.68114666423
208,22/09/2017,31972.0299255962
209,23/09/2017,31972.0299255962
210,24/09/2017,30986.839023198838
211,25/09/2017,30197.70074245227
212,26/09/2017,30024.384522365817
213,27/09/2017,30722.111184630176
214,28/09/2017,31521.375120016426
215,29/09/2017,31701.06679484131
216,30/09/2017,32153.625487661626
217,01/10/2017,33073.12396541776
218,02/10/2017,35555.251987634845
219,03/10/2017,38390.4975811781
220,04/10/2017,35262.01129883371
221,05/10/2017,33728.29710839751
222,06/10/2017,32519.114418578127
223,07/10/2017,32427.45430171522
224,08/10/2017,33446.339097744494
225,09/10/2017,34012.017371242575
226,10/10/2017,34012.017371242575
227,11/10/2017,32335.98628326465
228,12/10/2017,29938.004106438653
229,13/10/2017,27512.307301964443
230,14/10/2017,25926.692171952043
231,15/10/2017,24262.04695935474
232,16/10/2017,23532.24287004848
233,17/10/2017,23316.518223735144
234,18/10/2017,22818.876940118764
235,19/10/2017,22538.07851862369
236,21/10/2017,24041.365133339197
237,22/10/2017,25617.90420628894
238,23/10/2017,24857.890832535515
239,24/10/2017,23102.266393315545
240,25/10/2017,21984.19263597636
241,26/10/2017,21039.30945448338
242,28/10/2017,21039.30945448338
243,29/10/2017,21984.19263597636
244,30/10/2017,22678.154822985958
245,31/10/2017,23173.520431159974
246,02/12/2017,8677.606438585404
247,03/12/2017,8574.910665671574
248,09/12/2017,8173.132903776737
249,10/12/2017,8009.923267563531
