Date,WL
04/01/2018,13.32
05/01/2018,13.29
06/01/2018,13.26
07/01/2018,13.24
12/01/2018,13.13
18/01/2018,13.03
19/01/2018,13.03
20/01/2018,13.02
21/01/2018,12.99
22/01/2018,12.95
23/01/2018,12.92
24/01/2018,12.92
25/01/2018,12.91
26/01/2018,12.9
27/01/2018,12.88
28/01/2018,12.87
29/01/2018,12.84
30/01/2018,12.82
31/01/2018,12.81
01/02/2018,12.8
02/02/2018,12.79
03/02/2018,12.79
04/02/2018,12.78
05/02/2018,12.78
06/02/2018,12.77
07/02/2018,12.75
08/02/2018,12.73
09/02/2018,12.71
10/02/2018,12.7
11/02/2018,12.69
12/02/2018,12.69
13/02/2018,12.68
14/02/2018,12.68
15/02/2018,12.68
16/02/2018,12.59
17/02/2018,12.5
18/02/2018,12.4
19/02/2018,12.43
20/02/2018,12.44
21/02/2018,12.42
22/02/2018,12.4
23/02/2018,12.36
24/02/2018,12.34
25/02/2018,12.34
26/02/2018,12.34
27/02/2018,12.36
28/02/2018,12.38
01/03/2018,12.38
02/03/2018,12.38
03/03/2018,12.37
04/03/2018,12.35
05/03/2018,12.35
06/03/2018,12.35
07/03/2018,12.36
08/03/2018,12.37
09/03/2018,12.4
10/03/2018,12.41
11/03/2018,12.44
12/03/2018,12.47
13/03/2018,12.6
14/03/2018,12.66
15/03/2018,12.7
16/03/2018,12.73
17/03/2018,12.71
18/03/2018,12.7
19/03/2018,12.62
20/03/2018,12.53
21/03/2018,12.49
22/03/2018,12.45
23/03/2018,12.44
24/03/2018,12.47
25/03/2018,12.52
26/03/2018,12.61
27/03/2018,12.72
28/03/2018,12.76
29/03/2018,12.73
30/03/2018,12.73
31/03/2018,12.81
01/04/2018,12.93
02/04/2018,13.07
03/04/2018,13.12
04/04/2018,13.13
05/04/2018,13.13
06/04/2018,13.11
07/04/2018,13.09
08/04/2018,13.07
09/04/2018,13.07
10/04/2018,13.08
11/04/2018,13.08
12/04/2018,13.06
13/04/2018,13.08
14/04/2018,13.16
15/04/2018,13.29
16/04/2018,13.41
17/04/2018,13.44
18/04/2018,13.5
19/04/2018,13.56
20/04/2018,13.77
21/04/2018,14.07
22/04/2018,14.29
23/04/2018,14.37
24/04/2018,14.3
25/04/2018,14.14
26/04/2018,14.06
27/04/2018,14.03
28/04/2018,14.02
29/04/2018,14.1
30/04/2018,14.27
01/05/2018,14.39
02/05/2018,14.42
03/05/2018,14.44
04/05/2018,14.33
05/05/2018,14.23
06/05/2018,14.17
07/05/2018,14.14
08/05/2018,14.13
09/05/2018,14.15
10/05/2018,14.21
11/05/2018,14.38
12/05/2018,14.53
13/05/2018,14.56
14/05/2018,14.57
15/05/2018,14.58
16/05/2018,14.69
17/05/2018,14.9
18/05/2018,15.05
19/05/2018,15.01
20/05/2018,14.86
20/05/2018,14.86
21/05/2018,14.74
22/05/2018,14.67
23/05/2018,14.64
24/05/2018,14.59
25/05/2018,14.56
26/05/2018,14.81
27/05/2018,15.07
28/05/2018,15.34
29/05/2018,15.6
30/05/2018,16.01
31/05/2018,16.31
01/06/2018,16.53
02/06/2018,16.7
03/06/2018,16.83
04/06/2018,16.8
05/06/2018,16.55
06/06/2018,16.31
07/06/2018,16.13
08/06/2018,15.98
09/06/2018,15.87
10/06/2018,15.79
11/06/2018,15.77
12/06/2018,15.77
13/06/2018,15.75
14/06/2018,15.72
15/06/2018,15.79
16/06/2018,16.11
17/06/2018,16.39
18/06/2018,16.81
19/06/2018,17.5
20/06/2018,17.91
21/06/2018,18.07
22/06/2018,18.1
23/06/2018,18.09
24/06/2018,18.03
25/06/2018,17.98
26/06/2018,18.02
27/06/2018,18.06
28/06/2018,17.98
29/06/2018,17.88
30/06/2018,17.81
01/07/2018,17.8
02/07/2018,17.99
03/07/2018,18.37
04/07/2018,18.49
05/07/2018,18.71
06/07/2018,19.06
07/07/2018,19.47
08/07/2018,19.5
09/07/2018,19.48
10/07/2018,19.44
11/07/2018,19.19
12/07/2018,18.94
13/07/2018,18.77
14/07/2018,18.71
15/07/2018,18.71
16/07/2018,18.78
17/07/2018,18.83
18/07/2018,18.86
